category,subcategory,order,text
장소/경험,,2,"그 장소는 실내였나요, 실외였나요?"
장소/경험,,3,"혼자 있었나요, 누군가와 함께였나요?"
장소/경험,,4,그 장소에서 무슨 활동을 했나요?
장소/경험,,5,기억나는 색깔이나 물건이 있나요?
장소/경험,,6,계절이나 날씨가 어땠는지 기억나나요?
장소/경험,,7,그 장소에서 들렸던 소리가 있나요?
장소/경험,,8,냄새나 향기가 기억나나요?
장소/경험,,9,장소 근처에 건물이나 지형지물이 있었나요?
장소/경험,,10,그 장소에서 무언가를 먹었거나 마셨나요?
장소/경험,,11,특정 시간대(아침/점심/저녁/밤)였나요?
장소/경험,,12,그 기억과 관련된 인물은 누구인가요?
장소/경험,,13,당시 당신의 나이는 대략 몇 살이었나요?
장소/경험,,14,지금 그 기억을 떠올리면 어떤 감정이 드나요?
장소/경험,,15,이 기억을 되찾고 싶은 이유는 무엇인가요?
일정/할일,기본,2,어떤 일정의 시간대인가요?(아침/오후/저녁/밤 중에서)
일정/할일,기본,3,오늘 예정된 약속이나 일정이 있었나요?
일정/할일,기본,4,해당 일정은 어떤 종류였나요?→ (수업 / 과제 / 회의 / 식사약속 / 여행 / 알바 / 기타)
일정/할일,기본,5,과제 일정이면 팀원이 있었나요? 누구였나요?
일정/할일,기본,6,해당 일정의 시작 시간이나 마감일이 있었나요?
일정/할일,기본,7,그 일정에 대해 가장 최근에 얘기한 적 있나요? 어떤 내용이었나요?
일정/할일,기본,8,"그 일정과 관련된 자기관리 계획이 있었나요? (예: 목표, 루틴, 리마인더 등)"
일정/할일,기본,9,일정 전에 어떤 일이 있었나요? 혹은 직전에 어떤 대화를 나눴나요?
일정/할일,기본,10,그 일정은 평소의 루틴과 달랐던 점이 있었나요?
일정/할일,기본,11,"학교, 회사, 알바 , 기타  중 어디에 해당하나요? [체크리스트]"
일정/할일,학교,2,학교 이름이나 위치가 기억나시나요?
일정/할일,학교,3,내일 수업이 있나요? 있다면 과목명은?
일정/할일,학교,4,해당 수업은 전공과 관련 있나요?
일정/할일,학교,5,동아리 활동이 있었거나 예정되어 있었나요? 동아리 이름은요?
일정/할일,회사,2,회사에서 맡은 일은 무엇이었나요?
일정/할일,회사,3,상사 이름이나 동료 이름이 기억나시나요?
일정/할일,회사,4,일과 중 사용했던 도구나 소프트웨어가 기억나나요?
일정/할일,회사,5,"사무실이나 회의실 위치, 풍경이 기억나나요?"
일정/할일,알바,2,알바하는 곳의 이름은?
일정/할일,알바,3,알바에서 맡은 일은 어떤 거였나요?
일정/할일,알바,4,정기적으로 일하는 요일이나 시간대가 있나요?
일정/할일,알바,5,"출퇴근은 어떤 방식으로 했나요? (도보, 버스, 자차 등)"
일정/할일,기타,2,"이 일정은 어떤 특별한 목적이 있었나요? (기념일, 약속, 생일 등)"
일정/할일,기타,3,일정이 있던 장소나 경로가 기억나나요?
일정/할일,기타,4,"이 일정은 갑작스럽게 생긴 건가요, 미리 계획된 건가요?"
일정/할일,기타,5,관련 키워드 뭐든지 입력해주세요.
단어,,2,"한국어였나요, 외국어였나요?"
단어,,3,어떤 상황에서 그 단어를 사용하나요?
단어,,4,반대되는 단어가 떠오르나요?
단어,,5,"그 단어가 고유 명사,속담, 고사성어 중에 어떤 종류 인가요?"
단어,,6,가장 자주 사용하는 어플리케이션 이름은?
단어,,7,지금 떠오르는 단어 중 비슷하지만 아닌게 뭐가 있어?
단어,,8,"그 단어는 명사, 동사, 형용사 중 어떤 품사였나요?"
단어,,9,누군가가 자주 썼던 말인가요? 그렇다면 누구인가요?
단어,,10,"뉴스, 책, 영화 중 어디서 접했던 단어였나요?"
단어,,11,그 단어의 첫 글자나 음절이 기억나나요?
단어,,12,"어떤 소리나 음악, 리듬과 연결된 느낌이 있나요?"
