
장소,2,"그 장소는 실내였나요, 실외였나요?"
장소,3,"그 장소에 도착했을 때 먼저 보였던 게 무엇인가요? ( 문, 간판, 사람, 불빛 등)"
장소,4,그 장소를 냄새로 표현한다면 어떤 냄새인가요?
장소,5,그 장소에서 걷고 있었나요? 앉아 있었나요? 누워 있었나요?
장소,6,"그 장소에서 마지막으로 했던 행동은 뭐였나요? ( 인사하기, 계산하기, 사진 찍기 등)"
장소,7,그 장소는 어느 나라에 있나요?
장소,8,"그 장소는 어느 지역에 있나요? ( 울산, 서울, 대구 등)"
장소,9,그 장소에 사람들이 많이 모여있었나요?
장소,10,지금 그 기억을 떠올리면 어떤 감정이 드나요?
장소,11,그 장소에서 특별히 기억나는 소리가 있나요?
장소,12,"그 장소에 함께 있었던 사람이 누구인가요? (연인, 친구, 가족, 혼자 등)"
장소,13,그 장소 주변에 유명한 랜드마크나 건물이 있나요?(이름도 알려주세요)
장소,14,그 장소에서 주로 사용하는 교통수단이 무엇이 있나요?
장소,15,"그 장소에 주로 어떤 활동을 하러 가나요?(음악 감상, 만들기 등등)"
일정/할일,2,그 일정의 시간대가 기억나시나요?(아침/오후/저녁/밤 중에서)
일정/할일,3,"그 일정은 '해야만 하는' 일인가요, 아니면 '하고 싶은' 일이었나요?"
일정/할일,4,해당 일정은 어떤 종류였나요?→ (수업 / 과제 / 회의 / 식사약속 / 여행 / 알바 / 기타)
일정/할일,5,"누구와 잡은 일정인가요??(친구, 가족, 혼자 등등)"
일정/할일,6,"최근에 알림, 캘린더, 노션, 종이 메모 등에서 알림이 왔는데 무시한 적이 있나요?"
일정/할일,7,그 일정에 대해 가장 최근에 얘기한 적 있나요? 어떤 내용이었나요?
일정/할일,8,"그 일정과 관련된 자기관리 계획이 있었나요? (예: 목표, 루틴, 리마인더 등)"
일정/할일,9,누군가 요즘 “너 그거 챙겼어?” “까먹지 말고~” 같은 말을 한 기억이 있나요?
일정/할일,10,평소 같으면 이쯤에 정기적으로 있는 일정이 있었나요?
일정/할일,11,"이번 주 안에 마감되거나 중간 점검 예정인 업무가 있나요? (보고서 제출, 개발 완료, 발표 준비 등등)"
일정/할일,12,최근 어떤 업무 주제나 키워드가 자주 언급되었거나 기억에 남았나요?
일정/할일,13,"일정에 어떤 특별한 목적이 있었던 것 같나요? (기념일, 약속, 생일 등)"
일정/할일,14,정기적으로 일하는 요일이나 시간대가 있나요?
일정/할일,15,"이 일정은 갑작스럽게 생긴 건가요, 미리 계획된 건가요?"
단어/문장,2,어떤 상황에서 그 단어를 사용하나요?
단어/문장,3,"한국어였나요, 외국어였나요?"
단어/문장,4,"그 단어가 고유 명사,속담, 고사성어 중에 어떤 종류 인가요?"
단어/문장,5,그 단어를 사용할 때 기분이나 감정은 어땠나요?
단어/문장,6,지금 떠오르는 단어 중 비슷하지만 아닌게 있나요?
단어/문장,7,"그 단어는 명사, 동사, 형용사 중 어떤 품사였나요? 아니면 문장 자체였나요?"
단어/문장,8,누군가가 자주 썼던 말인가요? 그렇다면 누구인가요?
단어/문장,9,"뉴스, 책, 영화 중 어디서 접했던 단어였나요?"
단어/문장,10,그 단어의 첫 글자나 음절이 기억나나요?
단어/문장,11,"어떤 소리나 음악, 리듬과 연결된 느낌이 있나요?"
단어/문장,12,단어를 들었을 때 머릿속에 어떤 이미지가 떠오르나요?
단어/문장,13,"해당 단어는 일상적인가요, 아니면 특정 분야(예: 법, IT, 의학 등)의 전문용어인가요?"
단어/문장,14,그 단어를 써야 하는데 비슷한 다른 단어로 대체했던 적 있나요?
단어/문장,15,그 단어를 마지막으로 썼거나 들었던 장소나 상황은 어디였나요?
콘텐츠,2,"영화,드라마, 애니메이션, 책 중 어느 것이 적어주세요."
콘텐츠,3,"어떤 장르였나요? (예: 액션, 로맨스, 공포, 범죄 등)"
콘텐츠,4,"등장하는 배우 또는 성우 이름이 기억나나요? 주연,조연 가리지 말고 전부 적어주세요."
콘텐츠,5,방영 연도는 언제쯤인가요? (예: 2010~2014년 사이)
콘텐츠,6,어느 나라에서 제작된 작품인가요?
콘텐츠,7,당시에 관객 수나 인기 정도가 기억나시나요? (예: 100만 미만)
콘텐츠,8,"작품에서 가장 기억에 남는 장면이 있었나요? 주연,조연 가리지 말고 전부 적어주세요."
콘텐츠,9,"이 작품를 처음 접한 경로는? (극장, OTT, TV, 유튜브 광고 등)"
콘텐츠,10,등장인물의 캐릭터 이름이 기억 나시나요?
콘텐츠,11,배경이 현실인가요? 판타지인가요?
콘텐츠,12,"작품 속 등장한 장소를 생각 나는 대로 전부 적어주세요. (예: 교도소,학교 , 카페, 항구..)"
콘텐츠,13,작품에서 등장한 대사가 기억나세요?
콘텐츠,14,"작가,감독,제작사 중에 아는 것이 있으시면 적어주세요."
콘텐츠,15,작품의 결말이 기억 나시나요?(예: 주인공이 희생함.)
노래,2,"노래의 장르는 무엇인가요? (발라드, 힙합, 팝송,트로트 등)"
노래,3,그룹인가요? 솔로 인가요?
노래,4,그룹이나 가수의 이름을 적어주세요.
노래,5,가사의 일부가 무엇인가요?
노래,6,노래가 나왔던 시기가 언제쯤인가요?
노래,7,어디서 이 노래를 자주 들으셨나요?
노래,8,노래방 인기차트에서 본 적 있나요?
노래,9,노래와 관련된 특정 사람이나 장소가 기억나나요?
노래,10,노래에 챌린지가 있나요?
노래,11,"노래 제목이 한글인가요,영어인가요, 둘 다인가요?"
노래,12,노래의 후렴구 멜로디가 입에 맴돌거나 흥얼거리게 되었나요?
노래,13,관련된 키워드가 있다면 무엇인가요?
노래,14,유사한 노래가 있다면 어떤 곡인가요?
노래,15,해당 노래는 앨범의 타이틀곡이었나요?
검색,2,검색하기 직전에 어떤 일을 하고 있었어?
검색,3,이동 중이였어? 컴퓨터 앞에 앉아 있었어? (장소를 말해주세요)
검색,4,검색하려던 건 어떤 주제 였나요?
검색,5,그때 머릿속에 떠오른 단어나 이미지가 있나요?
검색,6,지금 검색하는 장소가 어딘가요?
검색,7,이 기억을 찾고  그 후에 하려던 일이나 일정이  기억나나요?
검색,8,검색 전에 연락하고 있었나요? 누구와 어떤 연락을 하고 있었나요?
검색,9,"소비와 관련 있었나요?(쇼핑, 외식 , 주식,...)"
검색,10,검색 하려던게 사실을 확인 하려던 건가요? ( 루머나 정보 검증 )
검색,11,검색하려던 단어의 일부라도 생각 나시나요?
검색,12,검색 하려던게 주변 사람에 의해 부탁 받은 일인가요?
검색,13,비슷한 말 떠오르는 거 아무거나 말해주세요.
검색,14,하고 있던 과제나 일이 있다면 어떤 내용인가요?
검색,15,검색하려는 당시의 기분을 적어주세요.
